Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Chile,CHL,"Population, total",SP.POP.TOTL,18952038
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,14896.4538665789
China,CHN,"Population, total",SP.POP.TOTL,1397715000
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,10261.6792453621
Colombia,COL,"Population, total",SP.POP.TOTL,50339443
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,6428.67620562768
Comoros,COM,"Population, total",SP.POP.TOTL,850886
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,1370.14820676715
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,86790567
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,580.716867207745
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5380508
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,2279.96913053355
Costa Rica,CRI,"Population, total",SP.POP.TOTL,5047561
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,12243.8114267607
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,25716544
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,2276.33327906444
Croatia,HRV,"Population, total",SP.POP.TOTL,4067500
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,14936.100547343
Cuba,CUB,"Population, total",SP.POP.TOTL,11333483
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Curacao,CUW,"Population, total",SP.POP.TOTL,157538
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,19689.13982339
Cyprus,CYP,"Population, total",SP.POP.TOTL,1198575
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,27858.3709958327
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10669709
Czech Republic,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,23494.5962002944
Denmark,DNK,"Population, total",SP.POP.TOTL,5818553
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,60170.3426365069
Djibouti,DJI,"Population, total",SP.POP.TOTL,973560
Djibouti,DJI,GDP per capita (current US$),NY.GDP.PCAP.CD,3414.92486968779
Dominica,DMA,"Population, total",SP.POP.TOTL,71808
Dominica,DMA,GDP per capita (current US$),NY.GDP.PCAP.CD,8110.56851191655
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,10738958
Dominican Republic,DOM,GDP per capita (current US$),NY.GDP.PCAP.CD,8282.11635935324
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,3290290613
Early-demographic dividend,EAR,GDP per capita (current US$),NY.GDP.PCAP.CD,3644.01459793481
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2340628292
East Asia & Pacific,EAS,GDP per capita (current US$),NY.GDP.PCAP.CD,11530.1381346129
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,2093675040
East Asia & Pacific (excluding high income),EAP,GDP per capita (current US$),NY.GDP.PCAP.CD,8222.27687284776
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,2067984156
East Asia & Pacific (IDA & IBRD countries),TEA,GDP per capita (current US$),NY.GDP.PCAP.CD,8308.52290628931
Ecuador,ECU,"Population, total",SP.POP.TOTL,17373662
Ecuador,ECU,GDP per capita (current US$),NY.GDP.PCAP.CD,6183.82382482173
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,100388073
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,3019.20582861756
El Salvador,SLV,"Population, total",SP.POP.TOTL,6453553
El Salvador,SLV,GDP per capita (current US$),NY.GDP.PCAP.CD,4187.2500311069
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1355986
Equatorial Guinea,GNQ,GDP per capita (current US$),NY.GDP.PCAP.CD,8131.92388810912
Eritrea,ERI,"Population, total",SP.POP.TOTL,..
Eritrea,ERI,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Estonia,EST,"Population, total",SP.POP.TOTL,1326590
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,23723.306112848
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1148130
Eswatini,SWZ,GDP per capita (current US$),NY.GDP.PCAP.CD,3894.67980685427
Ethiopia,ETH,"Population, total",SP.POP.TOTL,112078730
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,855.760862280838
Euro area,EMU,"Population, total",SP.POP.TOTL,342597698
Euro area,EMU,GDP per capita (current US$),NY.GDP.PCAP.CD,38984.6859895145
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,921140092
Europe & Central Asia,ECS,GDP per capita (current US$),NY.GDP.PCAP.CD,24744.1402883946
Europe & Central Asia (excluding high income),ECA,"Population, total",SP.POP.TOTL,399404587
Europe & Central Asia (excluding high income),ECA,GDP per capita (current US$),NY.GDP.PCAP.CD,8133.26084670603
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",SP.POP.TOTL,460799505
Europe & Central Asia (IDA & IBRD countries),TEC,GDP per capita (current US$),NY.GDP.PCAP.CD,9017.27828722879
European Union,EUU,"Population, total",SP.POP.TOTL,447512041
European Union,EUU,GDP per capita (current US$),NY.GDP.PCAP.CD,34918.4983749707
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,48678
Faroe Islands,FRO,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Fiji,FJI,"Population, total",SP.POP.TOTL,889953
Fiji,FJI,GDP per capita (current US$),NY.GDP.PCAP.CD,6175.88872032104
Finland,FIN,"Population, total",SP.POP.TOTL,5520314
Finland,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,48782.7884755091
Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,798138587
Fragile and conflict affected situations,FCS,GDP per capita (current US$),NY.GDP.PCAP.CD,2228.25524462277
France,FRA,"Population, total",SP.POP.TOTL,67059887
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,40493.9285720456
French Polynesia,PYF,"Population, total",SP.POP.TOTL,279287
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Gabon,GAB,"Population, total",SP.POP.TOTL,2172579
Gabon,GAB,GDP per capita (current US$),NY.GDP.PCAP.CD,7767.01340440788
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2347706
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,777.811932084008
Georgia,GEO,"Population, total",SP.POP.TOTL,3720382
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,4697.7045759469
Germany,DEU,"Population, total",SP.POP.TOTL,83132799
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,46445.2491012508
Ghana,GHA,"Population, total",SP.POP.TOTL,30417856
Ghana,GHA,GDP per capita (current US$),NY.GDP.PCAP.CD,2202.11556738065
Gibraltar,GIB,"Population, total",SP.POP.TOTL,33701
Gibraltar,GIB,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Greece,GRC,"Population, total",SP.POP.TOTL,10716322
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,19582.5359794936
Greenland,GRL,"Population, total",SP.POP.TOTL,56225
Greenland,GRL,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Grenada,GRD,"Population, total",SP.POP.TOTL,112003
Grenada,GRD,GDP per capita (current US$),NY.GDP.PCAP.CD,10808.6721222084
Guam,GUM,"Population, total",SP.POP.TOTL,167294
Guam,GUM,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Guatemala,GTM,"Population, total",SP.POP.TOTL,16604026
Guatemala,GTM,GDP per capita (current US$),NY.GDP.PCAP.CD,4619.98525821971
Guinea,GIN,"Population, total",SP.POP.TOTL,12771246
Guinea,GIN,GDP per capita (current US$),NY.GDP.PCAP.CD,962.839908587778
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1920922
Guinea-Bissau,GNB,GDP per capita (current US$),NY.GDP.PCAP.CD,697.294926856786
Guyana,GUY,"Population, total",SP.POP.TOTL,782766
Guyana,GUY,GDP per capita (current US$),NY.GDP.PCAP.CD,6609.58642503371
Haiti,HTI,"Population, total",SP.POP.TOTL,11263077
Haiti,HTI,GDP per capita (current US$),NY.GDP.PCAP.CD,1272.4909246734
Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,801708035
Heavily indebted poor countries (HIPC),HPC,GDP per capita (current US$),NY.GDP.PCAP.CD,976.741808708115
High income,HIC,"Population, total",SP.POP.TOTL,1235852838
High income,HIC,GDP per capita (current US$),NY.GDP.PCAP.CD,44617.4765305399
Honduras,HND,"Population, total",SP.POP.TOTL,9746117
Honduras,HND,GDP per capita (current US$),NY.GDP.PCAP.CD,2574.91219067443
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7507400
"Hong Kong SAR, China",HKG,GDP per capita (current US$),NY.GDP.PCAP.CD,48713.4737481561
Hungary,HUN,"Population, total",SP.POP.TOTL,9769949
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,16731.8215139051
IBRD only,IBD,"Population, total",SP.POP.TOTL,4816235953
IBRD only,IBD,GDP per capita (current US$),NY.GDP.PCAP.CD,6561.99428659455
Iceland,ISL,"Population, total",SP.POP.TOTL,361313
Iceland,ISL,GDP per capita (current US$),NY.GDP.PCAP.CD,66944.8330769825
IDA & IBRD total,IBT,"Population, total",SP.POP.TOTL,6486934853
IDA & IBRD total,IBT,GDP per capita (current US$),NY.GDP.PCAP.CD,5228.54414234075
IDA blend,IDB,"Population, total",SP.POP.TOTL,561572202
IDA blend,IDB,GDP per capita (current US$),NY.GDP.PCAP.CD,1765.6634650645
IDA only,IDX,"Population, total",SP.POP.TOTL,1109126698
IDA only,IDX,GDP per capita (current US$),NY.GDP.PCAP.CD,1200.91860733875
IDA total,IDA,"Population, total",SP.POP.TOTL,1670698900
IDA total,IDA,GDP per capita (current US$),NY.GDP.PCAP.CD,1388.82814141165
India,IND,"Population, total",SP.POP.TOTL,1366417754
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,2099.59904810855
Indonesia,IDN,"Population, total",SP.POP.TOTL,270625568
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,4135.56926281554
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,82913906
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Iraq,IRQ,"Population, total",SP.POP.TOTL,39309783
Iraq,IRQ,GDP per capita (current US$),NY.GDP.PCAP.CD,5955.10901036816
Ireland,IRL,"Population, total",SP.POP.TOTL,4941444
Ireland,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,78660.9564629603
Isle of Man,IMN,"Population, total",SP.POP.TOTL,84584
Isle of Man,IMN,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Israel,ISR,"Population, total",SP.POP.TOTL,9053300
Israel,ISR,GDP per capita (current US$),NY.GDP.PCAP.CD,43592.0835823234
Italy,ITA,"Population, total",SP.POP.TOTL,60297396
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,33228.2366803707
Jamaica,JAM,"Population, total",SP.POP.TOTL,2948279
Jamaica,JAM,GDP per capita (current US$),NY.GDP.PCAP.CD,5582.26377755211
Japan,JPN,"Population, total",SP.POP.TOTL,126264931
Japan,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,40246.8801284164
Jordan,JOR,"Population, total",SP.POP.TOTL,10101694
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,4405.48841230824
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,18513930
Kazakhstan,KAZ,GDP per capita (current US$),NY.GDP.PCAP.CD,9812.39037613835
Kenya,KEN,"Population, total",SP.POP.TOTL,52573973
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1816.5469164389
Kiribati,KIR,"Population, total",SP.POP.TOTL,117606
Kiribati,KIR,GDP per capita (current US$),NY.GDP.PCAP.CD,1655.07883905984
"Korea, Dem. People’s Rep.",PRK,"Population, total",SP.POP.TOTL,25666161
"Korea, Dem. People’s Rep.",PRK,GDP per capita (current US$),NY.GDP.PCAP.CD,..
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51709098
"Korea, Rep.",KOR,GDP per capita (current US$),NY.GDP.PCAP.CD,31846.2182324258
Kosovo,XKX,"Population, total",SP.POP.TOTL,1794248
Kosovo,XKX,GDP per capita (current US$),NY.GDP.PCAP.CD,4417.5240622333
Kuwait,KWT,"Population, total",SP.POP.TOTL,4207083
Kuwait,KWT,GDP per capita (current US$),NY.GDP.PCAP.CD,32000.4484691578
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,6456900
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1309.39299165512
Lao PDR,LAO,"Population, total",SP.POP.TOTL,7169455
Lao PDR,LAO,GDP per capita (current US$),NY.GDP.PCAP.CD,2534.89827991125
Late-demographic dividend,LTE,"Population, total",SP.POP.TOTL,2298470832
Late-demographic dividend,LTE,GDP per capita (current US$),NY.GDP.PCAP.CD,9999.48841965925
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,646430843
Latin America & Caribbean,LCN,GDP per capita (current US$),NY.GDP.PCAP.CD,8869.89481433387
Latin America & Caribbean (excluding high income),LAC,"Population, total",SP.POP.TOTL,613773119
Latin America & Caribbean (excluding high income),LAC,GDP per capita (current US$),NY.GDP.PCAP.CD,8390.06292074218
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",SP.POP.TOTL,630644772
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP per capita (current US$),NY.GDP.PCAP.CD,8702.13746386907
Latvia,LVA,"Population, total",SP.POP.TOTL,1912789
Latvia,LVA,GDP per capita (current US$),NY.GDP.PCAP.CD,17828.8946571856
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,1033388876
Least developed countries: UN classification,LDC,GDP per capita (current US$),NY.GDP.PCAP.CD,1079.20461356443
Lebanon,LBN,"Population, total",SP.POP.TOTL,6855713
Lebanon,LBN,GDP per capita (current US$),NY.GDP.PCAP.CD,7583.69472170648
Lesotho,LSO,"Population, total",SP.POP.TOTL,2125268
Lesotho,LSO,GDP per capita (current US$),NY.GDP.PCAP.CD,1118.13128380194
Liberia,LBR,"Population, total",SP.POP.TOTL,4937374
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,621.892953622715
Libya,LBY,"Population, total",SP.POP.TOTL,6777452
Libya,LBY,GDP per capita (current US$),NY.GDP.PCAP.CD,7685.94926653003
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,38019
Liechtenstein,LIE,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Lithuania,LTU,"Population, total",SP.POP.TOTL,2786844
Lithuania,LTU,GDP per capita (current US$),NY.GDP.PCAP.CD,19601.8908343885
Low & middle income,LMY,"Population, total",SP.POP.TOTL,6437681136
Low & middle income,LMY,GDP per capita (current US$),NY.GDP.PCAP.CD,5080.87769439704
Low income,LIC,"Population, total",SP.POP.TOTL,668454965
Low income,LIC,GDP per capita (current US$),NY.GDP.PCAP.CD,810.094853446519
Lower middle income,LMC,"Population, total",SP.POP.TOTL,2913363391
Lower middle income,LMC,GDP per capita (current US$),NY.GDP.PCAP.CD,2174.43979701111
Luxembourg,LUX,"Population, total",SP.POP.TOTL,619896
Luxembourg,LUX,GDP per capita (current US$),NY.GDP.PCAP.CD,114704.594170863
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,640445
"Macao SAR, China",MAC,GDP per capita (current US$),NY.GDP.PCAP.CD,84096.3963112065
Madagascar,MDG,"Population, total",SP.POP.TOTL,26969307
Madagascar,MDG,GDP per capita (current US$),NY.GDP.PCAP.CD,523.359064460847
Malawi,MWI,"Population, total",SP.POP.TOTL,18628747
Malawi,MWI,GDP per capita (current US$),NY.GDP.PCAP.CD,411.552340423602
Malaysia,MYS,"Population, total",SP.POP.TOTL,31949777
Malaysia,MYS,GDP per capita (current US$),NY.GDP.PCAP.CD,11414.2069765208
Maldives,MDV,"Population, total",SP.POP.TOTL,530953
Maldives,MDV,GDP per capita (current US$),NY.GDP.PCAP.CD,10626.513402239
Mali,MLI,"Population, total",SP.POP.TOTL,19658031
Mali,MLI,GDP per capita (current US$),NY.GDP.PCAP.CD,879.008010446655
Malta,MLT,"Population, total",SP.POP.TOTL,502653
Malta,MLT,GDP per capita (current US$),NY.GDP.PCAP.CD,29820.6032474099
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,58791
Marshall Islands,MHL,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Mauritania,MRT,"Population, total",SP.POP.TOTL,4525696
Mauritania,MRT,GDP per capita (current US$),NY.GDP.PCAP.CD,1679.44487300408
Mauritius,MUS,"Population, total",SP.POP.TOTL,1265711
Mauritius,MUS,GDP per capita (current US$),NY.GDP.PCAP.CD,11099.2402835688
Mexico,MEX,"Population, total",SP.POP.TOTL,127575529
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,9946.03382879198
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,113815
"Micronesia, Fed. Sts.",FSM,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Middle East & North Africa,MEA,"Population, total",SP.POP.TOTL,456707404
Middle East & North Africa,MEA,GDP per capita (current US$),NY.GDP.PCAP.CD,7991.12900461804
Middle East & North Africa (excluding high income),MNA,"Population, total",SP.POP.TOTL,389457086
Middle East & North Africa (excluding high income),MNA,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",SP.POP.TOTL,384771780
Middle East & North Africa (IDA & IBRD countries),TMN,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Middle income,MIC,"Population, total",SP.POP.TOTL,5769226171
Middle income,MIC,GDP per capita (current US$),NY.GDP.PCAP.CD,5573.24410720134
Moldova,MDA,"Population, total",SP.POP.TOTL,2657637
Moldova,MDA,GDP per capita (current US$),NY.GDP.PCAP.CD,4503.51698538847
Monaco,MCO,"Population, total",SP.POP.TOTL,38964
Monaco,MCO,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Mongolia,MNG,"Population, total",SP.POP.TOTL,3225167
Mongolia,MNG,GDP per capita (current US$),NY.GDP.PCAP.CD,4339.84327925027
Montenegro,MNE,"Population, total",SP.POP.TOTL,622137
Montenegro,MNE,GDP per capita (current US$),NY.GDP.PCAP.CD,8908.93479246767
Morocco,MAR,"Population, total",SP.POP.TOTL,36471769
Morocco,MAR,GDP per capita (current US$),NY.GDP.PCAP.CD,3204.09500313298
Mozambique,MOZ,"Population, total",SP.POP.TOTL,30366036
Mozambique,MOZ,GDP per capita (current US$),NY.GDP.PCAP.CD,503.570772675202
Myanmar,MMR,"Population, total",SP.POP.TOTL,54045420
Myanmar,MMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1407.81314341043
Namibia,NAM,"Population, total",SP.POP.TOTL,2494530
Namibia,NAM,GDP per capita (current US$),NY.GDP.PCAP.CD,4957.45822226408
Nauru,NRU,"Population, total",SP.POP.TOTL,12581
Nauru,NRU,GDP per capita (current US$),NY.GDP.PCAP.CD,9396.98196681072
Nepal,NPL,"Population, total",SP.POP.TOTL,28608710
Nepal,NPL,GDP per capita (current US$),NY.GDP.PCAP.CD,1071.05076055404
Netherlands,NLD,"Population, total",SP.POP.TOTL,17332850
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,52331.3167277797
New Caledonia,NCL,"Population, total",SP.POP.TOTL,287800
New Caledonia,NCL,GDP per capita (current US$),NY.GDP.PCAP.CD,..
New Zealand,NZL,"Population, total",SP.POP.TOTL,4917000
New Zealand,NZL,GDP per capita (current US$),NY.GDP.PCAP.CD,42084.3533748088
Nicaragua,NIC,"Population, total",SP.POP.TOTL,6545502
Nicaragua,NIC,GDP per capita (current US$),NY.GDP.PCAP.CD,1912.90374537869
Niger,NER,"Population, total",SP.POP.TOTL,23310715
Niger,NER,GDP per capita (current US$),NY.GDP.PCAP.CD,553.89505038138
Nigeria,NGA,"Population, total",SP.POP.TOTL,200963599
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,2229.85869624463
North America,NAC,"Population, total",SP.POP.TOTL,365892703
North America,NAC,GDP per capita (current US$),NY.GDP.PCAP.CD,63344.0775191408
North Macedonia,MKD,"Population, total",SP.POP.TOTL,2083459
North Macedonia,MKD,GDP per capita (current US$),NY.GDP.PCAP.CD,6022.21617939574
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,57216
Northern Mariana Islands,MNP,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Norway,NOR,"Population, total",SP.POP.TOTL,5347896
Norway,NOR,GDP per capita (current US$),NY.GDP.PCAP.CD,75419.6348688089
Not classified,INX,"Population, total",SP.POP.TOTL,..
Not classified,INX,GDP per capita (current US$),NY.GDP.PCAP.CD,..
OECD members,OED,"Population, total",SP.POP.TOTL,1359963500
OECD members,OED,GDP per capita (current US$),NY.GDP.PCAP.CD,39485.8942032928
Oman,OMN,"Population, total",SP.POP.TOTL,4974986
